Hugh sat by sneezing passengers on the subway.,Now he has a case of covid.
Jake dropped all of his things on the subway.,Now he has a shattered phone.
Hugh sat by sneezing passengers on the subway.,Now he has a shattered phone.
Jake dropped all of his things on the subway.,Now he has a case of covid.
Luna stood by coughing travelers on the train.,Now she has a strain of covid.
Lynn dropped her entire backpack on the train.,Now she has a smashed laptop.
Luna stood by coughing travelers on the train.,Now she has a smashed laptop.
Lynn dropped her entire backpack on the train.,Now she has a strain of covid.
Beth consumed unhealthy food from a young age.,Now she has type two diabetes.
Maya played catch in the living room with her friends.,Now she has broken china.
Beth consumed unhealthy food from a young age.,Now she has broken china.
Maya played catch in the living room with her friends.,Now she has type two diabetes.
Owen ate a diet high in fat from an early age.,Now he has adult onset diabetes.
Mark played catch in the kitchen with his cousins.,Now he has shattered teacups.
Owen ate a diet high in fat from an early age.,Now he has shattered teacups.
Mark played catch in the kitchen with his cousins.,Now he has adult onset diabetes.
Sam sunbathed on a sunny beach every day this summer.,Now he has a cancerous freckle.
Joseph lit several candles on a wooden table this morning.,Now he has a house fire.
Sam sunbathed on a sunny beach every day this summer.,Now he has a house fire.
Joseph lit several candles on a wooden table this morning.,Now he has a cancerous freckle.
Penny went tanning on the beach every day this summer.,Now she has a cancerous mole.
Pearl lit several torches near plastic chairs this evening.,Now she has a porch fire.
Penny went tanning on the beach every day this summer.,Now she has a porch fire.
Pearl lit several torches near plastic chairs this evening.,Now she has a cancerous mole.
Dawn had a history of drinking too much alcohol.,Now she has a diseased liver.
Riley had a habit of setting off lots of fireworks.,Now she has a scorched lawn.
Dawn had a history of drinking too much alcohol.,Now she has a scorched lawn.
Riley had a habit of setting off lots of fireworks.,Now she has a diseased liver.
Henry had a history of consuming too many drinks.,Now he has an inflamed liver.
Luke had a hobby of lighting sparklers indoors.,Now he has a burnt apartment.
Henry had a history of consuming too many drinks.,Now he has a burnt apartment.
Luke had a hobby of lighting sparklers indoors.,Now he has an inflamed liver.
Jeff ate a fast food diet when he was a child.,Now he has heart disease.
Theo got a massive pipe leak when it was raining.,Now he has cracked ceilings.
Jeff ate a fast food diet when he was a child.,Now he has cracked ceilings.
Theo got a massive pipe leak when it was raining.,Now he has heart disease.
Lilly had poor eating habits when she was young.,Now she has heart disease.
Jean got a big pipe leak when it was storming.,Now she has fractured walls.
Lilly had poor eating habits when she was young.,Now she has fractured walls.
Jean got a big pipe leak when it was storming.,Now she has heart disease.
Eve got an abnormal gene from her parents.,Now she has an unusual cancer.
Sophie had a sudden hail shower in her area.,Now she has a damaged roof.
Eve got an abnormal gene from her parents.,Now she has a damaged roof.
Sophie had a sudden hail shower in her area.,Now she has an unusual cancer.
Aaron got a mutated gene from his grandmother.,Now he has a rare cancer.
Ken had many violent earthquakes in his area.,Now he has a falling ceiling.
Aaron got a mutated gene from his grandmother.,Now he has a falling ceiling.
Ken had many violent earthquakes in his area.,Now he has a rare cancer.
Hunter worked the sunny cotton fields every day.,Now he has a skin cancer.
Simon lit the fireplace near large curtains one day.,Now he has a scorched ceiling.
Hunter worked the sunny cotton fields every day.,Now he has a scorched ceiling.
Simon lit the fireplace near large curtains one day.,Now he has a skin cancer.
Grace plowed the fields in the hot sun every day.,Now she has a skin cancer.
Lily lit a bonfire near her recycling bin yesterday.,Now she has a charred lawn.
Grace plowed the fields in the hot sun every day.,Now she has a charred lawn.
Lily lit a bonfire near her recycling bin yesterday.,Now she has a skin cancer.
Hanna inhaled toxic chemicals in her high school.,Now she has diseased lungs.
Clara had leaky sewage pipes in her apartment.,Now she has crumbling walls.
Hanna inhaled toxic chemicals in her high school.,Now she has crumbling walls.
Clara had leaky sewage pipes in her apartment.,Now she has diseased lungs.
Timmy inhaled polluted air at his local park.,Now he has inflamed lungs.
Fred had a faulty drainage system in his home.,Now he has cracked walls.
Timmy inhaled polluted air at his local park.,Now he has cracked walls.
Fred had a faulty drainage system in his home.,Now he has inflamed lungs.
Scott attended a packed concert in the middle of winter.,Now he has longlasting covid.
Miles shoved a fragile jewelry set into the moving truck.,Now he has broken necklaces.
Scott attended a packed concert in the middle of winter.,Now he has broken necklaces.
Miles shoved a fragile jewelry set into the moving truck.,Now he has longlasting covid.
Lucy attended a busy conference at the start of winter.,Now she has lingering covid.
Paige crammed a fancy tea set into the cardboard box.,Now she has shattered porcelain.
Lucy attended a busy conference at the start of winter.,Now she has shattered porcelain.
Paige crammed a fancy tea set into the cardboard box.,Now she has lingering covid.
Gail sprayed strong pesticides during her entire career.,Now she has a large brain tumor.
Iris dropped a box of valuables during the big move.,Now she has a damaged ring.
Gail sprayed strong pesticides during her entire career.,Now she has a damaged ring.
Iris dropped a box of valuables during the big move.,Now she has a large brain tumor.
Ralph used harsh herbicides at his longstanding job.,Now he has recurring brain cancer.
